Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,1205.658400004498,1205.558892614138,1204.8601852295144,1205.286268613405,1205.286268613405,2157655
2022-01-04,1206.82735062825,1206.7620275658437,1206.2177680875782,1206.3484784643183,1206.3484784643183,3949281
2022-01-05,1205.8705571786838,1206.016620249119,1205.0081299405415,1205.894734155782,1205.894734155782,4161757
2022-01-06,1205.9566710699355,1206.70882513911,1206.077891140754,1206.5276757895754,1206.5276757895754,2294929
2022-01-07,1204.7378020252636,1205.6822417818423,1204.8065014160568,1205.0011239278776,1205.0011239278776,3504594
2022-01-10,1204.5399295185666,1205.1246573682354,1204.5754596696625,1204.9432190205398,1204.9432190205398,2243294
2022-01-11,1208.163730037014,1206.2868671388453,1205.3475740026497,1205.7617037551784,1205.7617037551784,3026683
2022-01-12,1205.8729483199795,1206.6045976711468,1205.0680135138575,1205.8955514094243,1205.8955514094243,4567675
2022-01-13,1206.8670799196054,1206.449068064036,1205.60857676038,1206.3421911409414,1206.3421911409414,4517330
2022-01-14,1207.910543855401,1206.6962309846049,1205.3596138713342,1206.1289187649757,1206.1289187649757,1896816
2022-01-17,1206.3816695345367,1207.5145509862125,1207.2469569380823,1207.257988202511,1207.257988202511,4214654
2022-01-18,1207.2152326619698,1208.1404993040394,1206.761418430622,1207.1775724288018,1207.1775724288018,4807085
2022-01-19,1206.4429361147163,1207.1956678931176,1206.2307780947624,1206.7121222463977,1206.7121222463977,3414802
2022-01-20,1207.5125012134831,1208.4046322087418,1207.5794473821436,1207.5986396589667,1207.5986396589667,1443031
2022-01-21,1206.0144677694848,1206.7437062787585,1205.9336665278572,1206.1934797366025,1206.1934797366025,2090668
2022-01-24,1205.9626359944891,1206.7379256129743,1205.9342232569977,1206.6945130801196,1206.6945130801196,4470411
2022-01-25,1205.847438490889,1206.2851795814863,1205.5149185001635,1205.6520282058923,1205.6520282058923,4080733
2022-01-26,1205.8673222577145,1207.8813583773374,1206.394644903678,1206.929955035131,1206.929955035131,3250041
2022-01-27,1207.657810519193,1207.27053960203,1206.4537259098668,1206.668927781884,1206.668927781884,3790373
2022-01-28,1207.427222309358,1207.6231013621302,1206.7917917280597,1206.8039125027035,1206.8039125027035,4683444
2022-01-31,1206.7230200829838,1208.100689362696,1206.9752814417482,1207.2164828993475,1207.2164828993475,3272158
2022-02-01,1204.8418149816596,1205.5148780749823,1204.3109245481237,1205.2867983030335,1205.2867983030335,4916643
2022-02-02,1204.911724023825,1204.848258301385,1203.8346763495938,1204.6362134614767,1204.6362134614767,3866879
2022-02-03,1204.8812140551572,1206.2907403596143,1204.7201827264423,1205.6797593707631,1205.6797593707631,4287058
2022-02-04,1208.3595045190689,1206.9585528647408,1206.0596703510078,1206.547524394934,1206.547524394934,4203503
2022-02-07,1207.188482329021,1207.670417903196,1206.720820401652,1206.8305566003294,1206.8305566003294,2785516
2022-02-08,1205.8743561802876,1206.381116152302,1204.9331335399302,1205.4810930289038,1205.4810930289038,2316189
2022-02-09,1206.7480415701195,1206.420017869065,1205.6122191552024,1206.0665964897623,1206.0665964897623,1290998
2022-02-10,1206.2005328058976,1207.0168666389422,1205.935638997228,1206.7799960799678,1206.7799960799678,1661616
2022-02-11,1207.9160232748764,1207.6075388083354,1206.7289307123074,1206.8270132930916,1206.8270132930916,2828022
2022-02-14,1208.1647176098986,1208.324990279231,1207.5619431066614,1208.0501842436831,1208.0501842436831,3173408
2022-02-15,1208.3168979245518,1208.1893667720665,1207.216703788859,1207.3667524535529,1207.3667524535529,4048593
2022-02-16,1206.6589417494847,1207.2806331297018,1206.532218949163,1206.856894876053,1206.856894876053,2409854
2022-02-17,1205.6895615236983,1205.0398331962588,1203.6349262195797,1204.3722832969672,1204.3722832969672,4802739
2022-02-18,1205.6934544341395,1205.3876461209495,1204.816092677746,1205.2921108071148,1205.2921108071148,1181360
2022-02-21,1207.788479794762,1206.2298320952614,1205.2300844854392,1205.605972770585,1205.605972770585,3444026
2022-02-22,1203.5546308286291,1204.375920124189,1203.5296761668817,1203.9241524454517,1203.9241524454517,3515419
2022-02-23,1202.3701028415485,1202.752161908633,1201.7061066770516,1202.1655534454576,1202.1655534454576,2338106
2022-02-24,1200.2613465712163,1201.4609370258313,1200.5079062742495,1201.2929228180865,1201.2929228180865,2291210
2022-02-25,1201.5572825225206,1202.8234545050111,1201.1944960711269,1202.086580760067,1202.086580760067,1933688
2022-02-28,1202.404906819826,1202.6490173495215,1200.8308855854743,1201.7862202719782,1201.7862202719782,3130939
2022-03-01,1202.1107577928574,1201.1981731554088,1200.1945299690626,1200.981433355318,1200.981433355318,3643061
2022-03-02,1202.9403278139553,1200.0710320177543,1199.6599105664864,1199.9753174622344,1199.9753174622344,3699424
2022-03-03,1198.827776597783,1198.9480440904526,1198.2362707983198,1198.9244055044062,1198.9244055044062,2501584
2022-03-04,1196.0575137956532,1197.632698703742,1196.5531240792434,1196.9907272032988,1196.9907272032988,4584197
2022-03-07,1196.5366571320296,1196.390425407741,1195.5286607496064,1195.7833313716524,1195.7833313716524,2869059
2022-03-08,1193.5849260714738,1195.2594507046892,1193.871881712549,1194.712753291975,1194.712753291975,1311955
2022-03-09,1195.959653916459,1195.6273236245484,1195.35695017947,1195.3953765284325,1195.3953765284325,3127599
2022-03-10,1194.7273977590914,1195.6205594711912,1194.3278914831503,1195.2296534752857,1195.2296534752857,3225198
2022-03-11,1194.6156636026487,1194.9985449674543,1193.9425911676435,1194.4040686322685,1194.4040686322685,1739290
2022-03-14,1197.8048374898392,1197.2105582465338,1196.0765899108662,1196.7137913876743,1196.7137913876743,2565070
2022-03-15,1195.939161045047,1197.0376799943426,1195.390540551922,1196.0498944741278,1196.0498944741278,4114693
2022-03-16,1198.14987647284,1197.353437141068,1196.3218796478047,1197.2169973885111,1197.2169973885111,4831342
2022-03-17,1199.7112644949182,1199.5332505003466,1198.201436264132,1198.838105946299,1198.838105946299,1641147
2022-03-18,1195.4038140803327,1197.672464376746,1196.6542120238817,1197.2681456086418,1197.2681456086418,1188490
2022-03-21,1196.4405078266795,1197.770308187641,1197.2754565321543,1197.3421085727152,1197.3421085727152,4129190
2022-03-22,1195.2627680604116,1197.5421726874654,1196.306166899862,1196.8245749218072,1196.8245749218072,3504840
2022-03-23,1198.227387627778,1196.918086676572,1196.0754815244309,1196.2256505252478,1196.2256505252478,1504409
2022-03-24,1196.6756354166173,1197.7722833357568,1196.043593573333,1196.7810273420546,1196.7810273420546,4673487
2022-03-25,1197.938986058598,1196.2865511350851,1195.645934924819,1196.1581568456313,1196.1581568456313,4384132
2022-03-28,1194.029235518763,1195.766297448689,1194.9819600200967,1195.662187799305,1195.662187799305,4790328
2022-03-29,1194.921304479131,1196.2184117208085,1195.4524000030772,1195.4940729036796,1195.4940729036796,1516595
2022-03-30,1195.9211718770691,1195.6990605523094,1195.0358816192572,1195.120673635303,1195.120673635303,4896892
2022-03-31,1194.1263780327176,1194.2212640948508,1193.2307800402284,1193.947103428291,1193.947103428291,1663689
2022-04-01,1195.2758698259518,1194.8224293021274,1194.6709255971398,1194.7430099331384,1194.7430099331384,3263089
2022-04-04,1194.5377326378527,1195.8771991212425,1195.7202841438807,1195.791540871646,1195.791540871646,2095426
